"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5060","Login User with correct email and password","tests","Mon Dec 08 01:49:12 UTC 2025","passed","Mon Dec 08 01:49:17 UTC 2025","","test_login_user_with_incorrect_email_and_password","",""
"","10601","Register User","tests","Mon Dec 08 01:49:09 UTC 2025","passed","Mon Dec 08 01:49:20 UTC 2025","","test_register_user","",""
"","4399","Register User With Existing Email","tests","Mon Dec 08 01:49:24 UTC 2025","passed","Mon Dec 08 01:49:28 UTC 2025","","test_register_user_with_existing_email","",""
"","7720","Login User with correct email and password","tests","Mon Dec 08 01:49:31 UTC 2025","passed","Mon Dec 08 01:49:39 UTC 2025","","test_login_user_with_correct_email_and_password","",""
"","3892","Verify All Products And Product Detail Page","tests","Mon Dec 08 01:49:19 UTC 2025","passed","Mon Dec 08 01:49:23 UTC 2025","","test_verify_all_products_and_product_detail_page","",""
"","2335","Verify Test Cases Page","tests","Mon Dec 08 01:49:29 UTC 2025","passed","Mon Dec 08 01:49:32 UTC 2025","","test_verify_test_cases_page","",""
"","17239","Contact us form","tests","Mon Dec 08 01:49:11 UTC 2025","passed","Mon Dec 08 01:49:28 UTC 2025","","test_contact_us_form","",""
"","3561","Verify Subscription In Home Page","tests","Mon Dec 08 01:49:26 UTC 2025","passed","Mon Dec 08 01:49:30 UTC 2025","","test_verify_subscription_in_home_page","",""
"","5536","Logout user","tests","Mon Dec 08 01:49:20 UTC 2025","passed","Mon Dec 08 01:49:25 UTC 2025","","test_logout_user","",""
"","5644","Search Product","tests","Mon Dec 08 01:49:10 UTC 2025","passed","Mon Dec 08 01:49:15 UTC 2025","","test_search_product","",""
